trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
0-0,05:00:00,05:01:00,3313,0,0,0,0,,1
0-0,05:00:00,05:01:00,3313--0013,1,1,0,0,,1
0-0,05:00:00,05:01:00,0013,2,2,0,0,,1
0-0,05:00:00,05:01:00,0013--2213,3,3,0,0,,1
0-0,05:00:00,05:01:00,2213,4,4,0,0,,1
0-0,05:00:00,05:01:00,2213--4411,5,5,0,0,,1
0-0,05:00:00,05:01:00,4411,6,6,0,0,,1
0-0,05:00:00,05:01:00,4411--110,7,7,0,0,,1
0-0,05:00:00,05:01:00,110,8,8,0,0,,1
0-0,05:00:00,05:01:00,110--000,9,9,0,0,,1
0-0,05:00:00,05:01:00,000,10,10,0,0,,1
0-0,05:00:00,05:01:00,000--220,11,11,0,0,,1
0-0,05:00:00,05:01:00,220,12,12,0,0,,1
0-0,05:00:00,05:01:00,220--331,13,13,0,0,,1
0-0,05:00:00,05:01:00,331,14,14,0,0,,1
0-0,05:00:00,05:01:00,331--224,15,15,0,0,,1
0-0,05:00:00,05:01:00,224,16,16,0,0,,1
0-0,05:00:00,05:01:00,224--004,17,17,0,0,,1
0-0,05:00:00,05:01:00,004,18,18,0,0,,1
0-0,05:00:00,05:01:00,004--334,19,19,0,0,,1
0-0,05:00:00,05:01:00,334,20,20,0,0,,1
0-1,05:15:00,05:16:00,3313,0,0,0,0,,1
0-1,05:15:00,05:16:00,3313--0013,1,1,0,0,,1
0-1,05:15:00,05:16:00,0013,2,2,0,0,,1
0-1,05:15:00,05:16:00,0013--2213,3,3,0,0,,1
0-1,05:15:00,05:16:00,2213,4,4,0,0,,1
0-1,05:15:00,05:16:00,2213--4411,5,5,0,0,,1
0-1,05:15:00,05:16:00,4411,6,6,0,0,,1
0-1,05:15:00,05:16:00,4411--110,7,7,0,0,,1
0-1,05:15:00,05:16:00,110,8,8,0,0,,1
0-1,05:15:00,05:16:00,110--000,9,9,0,0,,1
0-1,05:15:00,05:16:00,000,10,10,0,0,,1
0-1,05:15:00,05:16:00,000--220,11,11,0,0,,1
0-1,05:15:00,05:16:00,220,12,12,0,0,,1
0-1,05:15:00,05:16:00,220--331,13,13,0,0,,1
0-1,05:15:00,05:16:00,331,14,14,0,0,,1
0-1,05:15:00,05:16:00,331--224,15,15,0,0,,1
0-1,05:15:00,05:16:00,224,16,16,0,0,,1
0-1,05:15:00,05:16:00,224--004,17,17,0,0,,1
0-1,05:15:00,05:16:00,004,18,18,0,0,,1
0-1,05:15:00,05:16:00,004--334,19,19,0,0,,1
0-1,05:15:00,05:16:00,334,20,20,0,0,,1
0-2,05:30:00,05:31:00,3313,0,0,0,0,,1
0-2,05:30:00,05:31:00,3313--0013,1,1,0,0,,1
0-2,05:30:00,05:31:00,0013,2,2,0,0,,1
0-2,05:30:00,05:31:00,0013--2213,3,3,0,0,,1
0-2,05:30:00,05:31:00,2213,4,4,0,0,,1
0-2,05:30:00,05:31:00,2213--4411,5,5,0,0,,1
0-2,05:30:00,05:31:00,4411,6,6,0,0,,1
0-2,05:30:00,05:31:00,4411--110,7,7,0,0,,1
0-2,05:30:00,05:31:00,110,8,8,0,0,,1
0-2,05:30:00,05:31:00,110--000,9,9,0,0,,1
0-2,05:30:00,05:31:00,000,10,10,0,0,,1
0-2,05:30:00,05:31:00,000--220,11,11,0,0,,1
0-2,05:30:00,05:31:00,220,12,12,0,0,,1
0-2,05:30:00,05:31:00,220--331,13,13,0,0,,1
0-2,05:30:00,05:31:00,331,14,14,0,0,,1
0-2,05:30:00,05:31:00,331--224,15,15,0,0,,1
0-2,05:30:00,05:31:00,224,16,16,0,0,,1
0-2,05:30:00,05:31:00,224--004,17,17,0,0,,1
0-2,05:30:00,05:31:00,004,18,18,0,0,,1
0-2,05:30:00,05:31:00,004--334,19,19,0,0,,1
0-2,05:30:00,05:31:00,334,20,20,0,0,,1
0-3,05:45:00,05:46:00,3313,0,0,0,0,,1
0-3,05:45:00,05:46:00,3313--0013,1,1,0,0,,1
0-3,05:45:00,05:46:00,0013,2,2,0,0,,1
0-3,05:45:00,05:46:00,0013--2213,3,3,0,0,,1
0-3,05:45:00,05:46:00,2213,4,4,0,0,,1
0-3,05:45:00,05:46:00,2213--4411,5,5,0,0,,1
0-3,05:45:00,05:46:00,4411,6,6,0,0,,1
0-3,05:45:00,05:46:00,4411--110,7,7,0,0,,1
0-3,05:45:00,05:46:00,110,8,8,0,0,,1
0-3,05:45:00,05:46:00,110--000,9,9,0,0,,1
