stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_timezone,location_type,parent_station,platform_code
3313,3313,3313,0.008656393991969276,0.012664369235700587,yes,NA,NA,NA,NA
3313--0013,3313--0013,3313--0013,0.00778643448880946,0.012664357503207392,yes,NA,NA,NA,NA
0013,0013,0013,0.006916480617579803,0.012664357922037068,yes,NA,NA,NA,NA
0013--2213,0013--2213,0013--2213,0.006916470783167651,0.011694167250320093,yes,NA,NA,NA,NA
2213,2213,2213,0.006916473380030771,0.010723981660370942,yes,NA,NA,NA,NA
2213--4411,2213--4411,2213--4411,0.006916485530534117,0.009753813541903071,yes,NA,NA,NA,NA
4411,4411,4411,0.006916468550180892,0.008783626929817148,yes,NA,NA,NA,NA
4411--110,4411--110,4411--110,0.005176563298955288,0.0087836248891905,yes,NA,NA,NA,NA
110,110,110,0.003436643038997912,0.008783623178539325,yes,NA,NA,NA,NA
110--000,110--000,110--000,0.0034366429318094826,0.004902870043561717,yes,NA,NA,NA,NA
000,000,000,0.0034366426167103787,0.0010221286159102646,yes,NA,NA,NA,NA
000--220,000--220,000--220,0.00343663312221984,-0.0028586075074228828,yes,NA,NA,NA,NA
220,220,220,0.0034366444963882946,-0.006739354537784723,yes,NA,NA,NA,NA
220--331,220--331,220--331,0.0016967307303248484,-0.006739353226255426,yes,NA,NA,NA,NA
331,331,331,-4.319440801038025e-05,-0.006739336901487332,yes,NA,NA,NA,NA
331--224,331--224,331--224,-4.32019184305141e-05,-0.0057691612641911656,yes,NA,NA,NA,NA
224,224,224,-4.319360991971887e-05,-0.004798971244210423,yes,NA,NA,NA,NA
224--004,224--004,224--004,-4.3191263588633315e-05,-0.0038287973964244945,yes,NA,NA,NA,NA
004,004,004,-4.31963364194096e-05,-0.002858607133369057,yes,NA,NA,NA,NA
004--334,004--334,004--334,0.0008267669585755639,-0.0028586026008184415,yes,NA,NA,NA,NA
334,334,334,0.0016967221543961097,-0.0028586030469394774,yes,NA,NA,NA,NA
